,content_hash_id,client_hash_id,total_impressions,total_clicks,avg_position,ctr,position_bucket,expected_ctr,ctr_gap,opportunity_score,word_count,char_count,content_created_date,content_updated_date,last_optimized_date,content_type,days_since_updated,visible_queries,rare_share,anon_share,query_count_bucket
17,content_11bf4c33adea7bdc,client_0fa64a184f18a4a0,333680.0,2.0,14.7974104022788,5.993766482857828e-06,11-20,0.0033343717982357206,0.003328378031752863,1110.6131816352952,2947,21238,2026-03-11,2026-05-20,,keyword article,99,19.0,0.0021397746343802446,0.00195996163989451,"(15.0, 1551.0]"
18,content_f43118e089ecc69a,client_73cda7b4e4f265ea,503037.0,458.0,6.693235163411621,0.000910469806395951,7-10,0.0030568569578881422,0.0021463871514921912,1079.7121535251774,,,2026-01-12,2026-02-25,,keyword article,183,890.0,0.004224341350636236,0.5792297584471917,"(15.0, 1551.0]"
19,content_6eda21f7025fe783,client_23a62021009f63c4,310510.0,415.0,5.097132023399657,0.0013365109014202442,4-6,0.004737103307584282,0.003400592406164038,1055.9179480379955,2204,14714,2026-03-03,2026-06-26,2026-06-26,keyword article,62,312.0,0.0065311906218801325,0.7710444108080255,"(15.0, 1551.0]"
20,content_ac7b77e81c53d636,client_73cda7b4e4f265ea,311452.0,424.0,5.893601493101343,0.0013613654752578246,4-6,0.004737103307584282,0.0033757378323264575,1051.38029935374,2761,18472,2026-02-03,2026-02-25,,keyword article,183,415.0,0.007066899554345453,0.48396542645415663,"(15.0, 1551.0]"
21,content_b902320872acab45,client_8ddc46da5414ffd8,310736.0,447.0,5.792287953388797,0.0014385201585912157,4-6,0.004737103307584282,0.0032985831489930665,1024.9885333855095,2980,17979,2026-05-17,2026-05-20,,keyword article,99,177.0,0.005866716440965964,0.10896387930590598,"(15.0, 1551.0]"
22,content_e241d6415ac9e534,client_73cda7b4e4f265ea,382912.0,797.0,4.6741347435673966,0.002081418184857095,4-6,0.004737103307584282,0.002655685122727187,1016.8937017137126,,,2025-02-12,2026-06-23,2026-06-23,keyword article,65,639.0,0.015990619254554573,0.579879972421862,"(15.0, 1551.0]"
23,content_9540d884af3e41fd,client_a80fca3f171ed1de,349130.0,89.0,9.163086168675239,0.000254919371007934,7-10,0.0030568569578881422,0.002801937586880208,978.240469707487,2859,19196,2026-02-23,2026-06-01,,keyword article,87,961.0,0.012717325924440753,0.12192879443187352,"(15.0, 1551.0]"
24,content_684037d084cbe6cc,client_a80fca3f171ed1de,265496.0,283.0,4.813841578772623,0.0010659294301985718,4-6,0.004737103307584282,0.0036711738773857103,974.6819797503965,2658,17814,2026-03-04,2026-05-20,,keyword article,99,322.0,0.011374935968903486,0.6390567089523006,"(15.0, 1551.0]"
25,content_99fc6465edb0e52c,client_cd12bcfd98942aa1,279612.0,1.0,17.104321582090154,3.576384418408366e-06,11-20,0.0033343717982357206,0.003330795413817312,931.3303672482863,3338,20857,2025-10-24,2026-02-25,,keyword article,183,8.0,0.0007581934967025736,0.0010872208631961433,"(5.0, 15.0]"
26,content_15168cd1c94e3529,client_23a62021009f63c4,349176.0,773.0,4.135533867122923,0.002213783306985589,4-6,0.004737103307584282,0.0025233200005986933,881.0827845290494,3357,21255,2026-02-11,2026-05-20,,keyword article,99,88.0,0.0013259788759823127,0.1044086649712466,"(15.0, 1551.0]"
27,content_012de75c008aa653,client_a80fca3f171ed1de,255867.0,1.0,16.143977507303937,3.908280473839925e-06,11-20,0.0033343717982357206,0.0033304635177618808,852.1557088991791,3006,17736,2026-01-13,2026-05-20,,keyword article,99,64.0,0.0024739415399406724,0.006452571062309715,"(15.0, 1551.0]"
28,content_a503431efe530d6a,client_73cda7b4e4f265ea,289503.0,538.0,5.394568171322344,0.0018583572536381315,4-6,0.004737103307584282,0.0028787460539461507,833.4056188555725,1813,13611,2026-03-03,2026-07-02,2026-07-02,keyword article,56,284.0,0.002345398838699426,0.2893510602653513,"(15.0, 1551.0]"
29,content_fd2117c2c6790e4b,client_73cda7b4e4f265ea,302010.0,598.0,5.578496999099858,0.001980066885202477,4-6,0.004737103307584282,0.0027570364223818053,832.6525699235291,2975,18875,2025-02-14,2026-06-27,2026-06-27,keyword article,61,629.0,0.016237872918115293,0.5022548922221118,"(15.0, 1551.0]"
